Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
108,Roman Josi,26,D,NSH,0.3988919668,1.2299168975,1.6288088643,7,18,8.7,5,7,0,1,25,11,1,7.2132963989,5.5,25.07,1.6527777778,0.75,49.728531856,44.177285319,53,2.8,36.265927978,33.074792244,52.3,2.2,9,90.8,99.8,50.1,49.9,13.628808864,0.5318559557,1.3628808864,53.2
111,Alex Pietrangelo,27,D,STL,0.4152249135,1.0084033613,1.4236282748,3,24,9.2,8,6,0,4,21,13,0,5.368264953,7.7,25.29,1.975,0.475,43.361344538,43.005437469,50.2,0.2,32.001977261,31.171527435,50.7,0.2,10.2,90,100.2,43.1,56.9,9.9357390015,1.5719228868,0.8007909046,54
118,Zach Werenski,19,D,CBJ,0.404659718,1.3243408952,1.7290006131,17,14,9.1,7,4,0,1,19,17,0,6.9160024525,5.9,20.91,1.1538461538,0.5256410256,50.030656039,42.489270386,54.1,6.2,36.38258737,31.379521766,53.7,5.3,8.7,92.4,101.1,55.4,44.6,14.126302882,0.9932556714,1.4714898835,49
123,Nick Leddy,25,D,NYI,0.3586956522,1.1413043478,1.5,-3,12,7,8,3,0,1,23,12,0,4.4673913043,8,22.72,1.3456790123,0.950617284,45.554347826,49.760869565,47.8,0.3,33.652173913,37.5,47.3,-0.8,9.4,91.6,100.9,49.2,50.8,9.3913043478,0.847826087,1.5652173913,47.6
134,Rasmus Ristolainen,22,D,BUF,0.1721664275,1.1190817791,1.2912482066,-9,58,7.6,5,1,0,2,14,24,1,5.3371592539,3.2,26.47,2.0379746835,2.4683544304,39.799139168,50.416068867,44.1,-5.2,30.55954089,38.737446198,44.1,-5.3,7.8,92.8,100.6,45.1,54.9,10.301291248,0.7173601148,1.6929698709,51.8
141,Drew Doughty,27,D,LAK,0.3234501348,0.8625336927,1.1859838275,8,46,10.5,7,5,0,1,17,14,1,4.8787061995,6.6,27.15,1.3292682927,1.5731707317,46.981132075,38.086253369,55.2,0.8,33.989218329,29.433962264,53.6,-1.6,7.2,92.6,99.8,54.4,45.6,9.8382749326,0.6469002695,2.3180592992,49.6
145,Jake Gardiner,26,D,TOR,0.3057757644,1.1551528879,1.4609286523,24,34,8.7,7,2,0,2,23,11,0,4.3148357871,7.1,21.54,1.012195122,0.8414634146,54.020385051,48.652321631,52.6,3.2,40.464326161,37.712344281,51.8,2.9,9.5,93.1,102.6,54.5,45.5,10.770101925,1.4949037373,2.6840317101,40.1
149,Shea Weber,31,D,MTL,0.5217391304,0.7672634271,1.2890025575,20,38,10.1,5,12,0,4,13,10,2,5.6163682864,9.3,25.06,2.0128205128,1.7948717949,43.242966752,41.063938619,51.3,-1.6,31.181585678,28.818414322,52,-0.4,7.4,94.9,102.3,46.8,53.2,12.613810742,0.3375959079,2.4552429668,44.5
152,Seth Jones,22,D,CBJ,0.4102564103,1.0256410256,1.4358974359,6,24,7.8,11,1,0,3,24,6,0,5.1965811966,7.9,23.40,1.5733333333,0.8133333333,49.162393162,44.717948718,52.4,3,35.829059829,32.854700855,52.2,2.5,8,91,99,53.9,46.1,10.153846154,1.094017094,1.5042735043,51.2
153,Ryan McDonagh,27,D,NYR,0.1918976546,1.1513859275,1.3432835821,20,37,7.8,4,1,1,1,22,14,0,4.8933901919,3.9,24.36,2.0779220779,1.038961039,42.281449893,48.326226013,46.7,-2.1,32.174840085,34.061833689,48.6,-0.4,9.4,93.3,102.7,45.5,54.5,10.26652452,1.4392324094,1.9189765458,48
158,Keith Yandle,30,D,FLA,0.1660210293,1.1953514112,1.3613724405,-6,39,6.9,3,2,0,0,19,16,1,5.9103486442,2.8,22.04,0.9268292683,0.3414634146,44.892086331,43.729939126,50.7,0.2,33.768677366,34.997232983,49.1,-1.6,7.2,92.5,99.7,56.2,43.8,13.082457111,0.7969009408,2.5235196458,45.4
165,P.K. Subban,27,D,NSH,0.3724394786,1.1173184358,1.4897579143,-8,44,6.1,7,3,0,2,16,13,1,5.2886405959,7,24.41,1.5757575758,1.1818181818,48.566108007,40.633147114,54.4,3.6,36.908752328,31.284916201,54.1,4.1,7.4,90.2,97.7,47.2,52.8,10.986964618,1.1173184358,2.1601489758,48.5
