Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
483,Cody Eakin,25,C,DAL,0.17839445,0.5351833499,0.7135777998,-7,49,-0.5,3,0,0,1,7,2,0,4.8761149653,3.7,16.82,0.65,1.0833333333,48.166501487,48.880079286,49.6,-1.7,35.32210109,35.738354807,49.7,-2,5.9,92.3,98.1,49.3,50.7,9.9900891972,1.4271555996,1.9623389495,48.8
487,Micheal Haley,30,C,SJS,0.2255639098,1.1278195489,1.3533834586,6,128,1,2,0,0,1,10,0,0,4.1729323308,5.4,9.17,0.3965517241,2.224137931,51.766917293,54.92481203,48.5,-4,37.669172932,37.218045113,50.3,-3,9.1,93.2,102.3,54,46,9.6992481203,2.030075188,2.1428571429,44.2
490,Michael Raffl,28,LW,PHI,0.6956521739,0.2608695652,0.9565217391,-7,20,0.7,8,0,0,3,3,0,0,5.4782608696,12.7,13.27,0.4230769231,1.75,60.782608696,53.217391304,53.3,2.8,43.304347826,38,53.3,2.8,5.5,92.3,97.7,56.8,43.2,9.7391304348,1.1304347826,1.4782608696,56.3
491,Eric Fehr,31,C,TOT,0.621761658,0.518134715,1.1398963731,2,14,0.7,6,0,0,3,5,0,0,6.4248704663,9.7,10.92,0.6603773585,1.5471698113,36.994818653,50.466321244,42.3,-9.4,28.497409326,33.471502591,46,-6.6,8.2,94.4,102.6,23.1,76.9,10.051813472,2.4870466321,1.0362694301,63.9
501,Dmitrij Jaskin,23,RW,STL,0.1018675722,1.0186757216,1.1205432937,5,18,0.6,1,0,0,0,10,0,0,5.6027164686,1.8,11.55,0.3725490196,1.9215686275,49.303904924,44.617996604,52.5,3.1,37.079796265,32.699490662,53.1,3.6,7.7,93.6,101.3,49,51,10.594227504,1.324278438,0.7130730051,52.9
504,Colton Sissons,23,C,NSH,0.7441860465,0.1860465116,0.9302325581,11,12,1.4,7,0,1,1,2,0,0,3.9069767442,19,11.12,0.4137931034,1.7931034483,41.581395349,53.76744186,43.6,-8.1,30.604651163,38.511627907,44.3,-6.7,9,95.5,104.5,28.5,71.5,6.7906976744,1.1162790698,1.023255814,57.5
506,Brian Flynn,28,C,MTL,0.5853658537,0.3902439024,0.9756097561,2,4,0.8,6,0,0,0,4,0,0,4.5853658537,12.8,12.06,0.568627451,0.3921568627,42.341463415,47.804878049,47,-6.1,30.536585366,31.317073171,49.4,-2.8,9.6,92.9,102.5,31.8,68.2,8.9756097561,1.2682926829,1.4634146341,51.1
508,Joseph Cramarossa,24,LW,TOT,0.4088586031,0.6132879046,1.0221465077,0,60,0.6,4,0,0,1,4,0,2,3.6797274276,11.1,9.95,0.3898305085,2.2542372881,36.286201022,54.071550256,40.2,-9.5,27.802385009,40.170357751,40.9,-8.5,6.9,94.4,101.3,54.5,45.5,6.4395229983,0.8177172061,1.5332197615,57.1
511,Cedric Paquette,23,C,TBL,0.3592814371,0.5389221557,0.8982035928,-6,80,0.2,4,0,0,0,6,0,0,6.1077844311,5.9,11.52,0.7931034483,2.4827586207,46.616766467,47.245508982,49.7,-2.4,33.592814371,35.209580838,48.8,-2.4,5.5,92.8,98.3,34.5,65.5,11.856287425,1.5269461078,0.7185628743,51.5
514,Logan Shaw,25,RW,ANA,0.3370786517,0.7865168539,1.1235955056,3,10,0.7,2,0,1,1,6,0,1,6.6292134831,5.1,9.71,0.3272727273,1.1272727273,37.415730337,46.404494382,44.6,-6.4,29.101123596,35.393258427,45.1,-6.5,8.3,93,101.3,54.8,45.2,10.224719101,1.1235955056,0.7865168539,64.8
